Year,Month,Nino34
2001, 8, -0.07
2001, 9, -0.28
2001, 10, -0.26
2001, 11, -0.28
2001, 12, -0.46
2002, 1, -0.14
2002, 2, 0.00
2002, 3, 0.11
2002, 4, 0.14
2002, 5, 0.21
2002, 6, 0.68
2002, 7, 0.57
2002, 8, 0.70
2002, 9, 0.82
2002, 10, 1.16
2002, 11, 1.41
2002, 12, 1.41
2003, 1, 0.98
2003, 2, 0.64
2003, 3, 0.48
2003, 4, -0.03
2003, 5, -0.52
2003, 6, -0.19
2003, 7, 0.14
2003, 8, 0.05
2003, 9, 0.15
2003, 10, 0.46
2003, 11, 0.39
2003, 12, 0.32
2004, 1, 0.26
2004, 2, 0.17
2004, 3, -0.10
2004, 4, 0.06
2004, 5, 0.10
2004, 6, 0.14
2004, 7, 0.41
2004, 8, 0.66
2004, 9, 0.67
2004, 10, 0.73
2004, 11, 0.62
2004, 12, 0.71
2005, 1, 0.56
2005, 2, 0.26
2005, 3, 0.28
2005, 4, 0.28
2005, 5, 0.30
2005, 6, 0.22
2005, 7, -0.01
2005, 8, -0.04
2005, 9, -0.08
2005, 10, -0.15
2005, 11, -0.44
2005, 12, -0.75
2006, 1, -0.98
2006, 2, -0.71
2006, 3, -0.73
2006, 4, -0.30
2006, 5, -0.11
2006, 6, 0.09
2006, 7, 0.03
2006, 8, 0.37
2006, 9, 0.63
2006, 10, 0.76
2006, 11, 0.98
2006, 12, 1.10
2007, 1, 0.59
2007, 2, 0.12
2007, 3, -0.15
2007, 4, -0.16
2007, 5, -0.39
2007, 6, -0.16
2007, 7, -0.37
2007, 8, -0.57
2007, 9, -1.04
2007, 10, -1.40
2007, 11, -1.58
2007, 12, -1.61
2008, 1, -1.79
2008, 2, -1.70
2008, 3, -1.17
2008, 4, -0.89
2008, 5, -0.64
2008, 6, -0.44
2008, 7, -0.04
2008, 8, -0.04
2008, 9, -0.28
2008, 10, -0.30
2008, 11, -0.37
2008, 12, -0.90
2009, 1, -1.00
2009, 2, -0.71
2009, 3, -0.72
2009, 4, -0.25
2009, 5, 0.17
2009, 6, 0.49
2009, 7, 0.69
2009, 8, 0.62
2009, 9, 0.68
2009, 10, 0.96
2009, 11, 1.49
2009, 12, 1.81
2010, 1, 1.43
2010, 2, 1.18
2010, 3, 1.07
2010, 4, 0.56
2010, 5, -0.15
2010, 6, -0.62
2010, 7, -0.89
2010, 8, -1.33
2010, 9, -1.56
2010, 10, -1.65
2010, 11, -1.57
2010, 12, -1.63
2011, 1, -1.70
2011, 2, -1.26
2011, 3, -0.98
2011, 4, -0.74
2011, 5, -0.53
2011, 6, -0.25
2011, 7, -0.23
2011, 8, -0.66
2011, 9, -0.76
2011, 10, -0.93
2011, 11, -1.09
2011, 12, -1.05
2012, 1, -0.93
2012, 2, -0.61
2012, 3, -0.48
2012, 4, -0.29
2012, 5, -0.18
2012, 6, 0.14
2012, 7, 0.44
2012, 8, 0.66
2012, 9, 0.44
2012, 10, 0.23
2012, 11, 0.33
2012, 12, -0.13
2013, 1, -0.42
2013, 2, -0.40
2013, 3, -0.14
2013, 4, -0.08
2013, 5, -0.28
2013, 6, -0.33
2013, 7, -0.28
2013, 8, -0.29
2013, 9, -0.09
2013, 10, -0.24
2013, 11, -0.02
2013, 12, -0.09
2014, 1, -0.42
2014, 2, -0.45
2014, 3, -0.07
2014, 4, 0.28
2014, 5, 0.45
2014, 6, 0.48
2014, 7, 0.13
2014, 8, 0.14
2014, 9, 0.37
2014, 10, 0.48
2014, 11, 0.89
2014, 12, 0.77
2015, 1, 0.59
2015, 2, 0.57
2015, 3, 0.48
2015, 4, 0.90
2015, 5, 1.04
2015, 6, 1.28
2015, 7, 1.56
2015, 8, 1.87
2015, 9, 2.01
2015, 10, 2.21
2015, 11, 2.57
2015, 12, 2.56
2016, 1, 2.56
2016, 2, 2.11
2016, 3, 1.60
2016, 4, 1.05
2016, 5, 0.45
2016, 6, 0.06
2016, 7, -0.25
2016, 8, -0.48
2016, 9, -0.46
2016, 10, -0.75
2016, 11, -0.63
2016, 12, -0.51
2017, 1, -0.34
2017, 2, -0.01
2017, 3, -0.09
2017, 4, 0.22
2017, 5, 0.30
2017, 6, 0.22
2017, 7, 0.22
2017, 8, -0.18
2017, 9, -0.56
2017, 10, -0.52
2017, 11, -0.84
2017, 12, -0.85
2018, 1, -0.86
2018, 2, -0.73
2018, 3, -0.73
2018, 4, -0.36
2018, 5, -0.12
2018, 6, 0.12
2018, 7, 0.27
2018, 8, 0.05
2018, 9, 0.30
2018, 10, 0.84
2018, 11, 1.00
2018, 12, 0.97
2019, 1, 0.51
2019, 2, 0.62
2019, 3, 0.81
2019, 4, 0.67
2019, 5, 0.61
2019, 6, 0.66
2019, 7, 0.41
2019, 8, 0.19
2019, 9, 0.11
2019, 10, 0.55
2019, 11, 0.74
2019, 12, 0.51
2020, 1, 0.64
2020, 2, 0.48
2020, 3, 0.36
2020, 4, 0.49
2020, 5, -0.12
2020, 6, -0.21
2020, 7, -0.04
2020, 8, -0.42
2020, 9, -0.66
2020, 10, -1.19
2020, 11, -1.01
2020, 12, -0.98
